transaction_date_time,cust_id,credit_card_number,transaction_amount,transaction_type,day_type
96256,5455,38799477984754,7327,c,w
785459,7208,3585203772922834,6986,a,s
1615429,9627,379580177928797,6405,a,w
2664541,9739,379564857613804,1114,d,s
2784743,6778,30110316486084,714,c,s
4834055,5076,3508631645372130,2099,c,w
4999454,938,3540094224724876,4229,d,s
6089938,2699,30479117901215,7277,a,s
6158510,6822,2711814322246240,7364,d,s
7188663,7202,30559357745073,7961,d,s
7310043,1686,341937785367161,4647,d,s
7439372,5240,2705774364098776,4656,c,w
7665677,8683,4035521893000,1984,d,w
7977304,801,213104723953025,4706,c,s
9653399,9714,6011276495379992,8098,b,s
10708792,4469,4.75747785006538E+018,9584,d,w
10855292,8598,3552440874218591,9080,c,w
11176984,3837,4089797506646931,9513,a,s
14492789,6532,4870258031758,9378,a,w
17702137,2186,4658275597053,7051,a,w
19163954,4371,4.66669377705205E+018,8738,b,s
21672386,6286,3539593930050792,4552,b,s
22012408,524,3518357495912449,4126,a,w
22167417,8017,577995546360,4604,a,w
22767093,3871,3586356285766327,8592,b,s
23557921,5347,4438789488211881,6519,d,w
25633178,5929,4312121649697322,6139,d,s
25920125,4767,4120066197999,1607,a,s
25993012,6528,6559406218626779,8692,c,w
26445534,3927,5352948006341385,1339,c,w
26500482,7217,4308379828687128,302,b,w
27429673,5077,30513077568349,7659,d,w
27689731,4542,2221257820686165,9923,d,w
28427797,5688,30432921453709,7720,b,w
28858219,5649,4950339841696,7449,a,s
30367768,5043,3502617957328683,1003,b,s
30444097,7283,4009724158427250,8852,d,w
31368339,8500,370242265467563,1378,b,w
34205887,4417,3573017585229144,5069,d,w
36027967,2521,3525137753212067,1679,c,s
36310866,3339,676391093751,1072,d,s
36892763,655,375827210287135,6279,a,s
37397745,4247,676259696570,4951,c,w
40519482,3802,4.81432911896636E+018,1184,b,w
40719207,1260,3542291112485176,7788,b,s
40946240,4154,30575623865230,1064,d,s
41046114,6962,501808536764,5635,c,s
41788335,3943,630489227870,4125,b,s
42094301,9453,4.33055397404813E+018,4358,a,s
44650367,3921,30234378248784,1837,b,s
45789291,2199,347077933310039,5933,c,w
47402807,1117,4715113001736270,3835,d,w
48363810,4055,587912434855,2187,a,w
48395603,8969,4.55378824558111E+018,1771,a,s
48634515,2790,2233362306870402,3877,b,s
50706297,807,4.48030509625515E+018,2127,c,s
50832988,1185,6011328530238376,3139,d,w
50842598,8787,6011187743804576,9390,a,w
52205959,4709,6011145903498506,9527,c,w
53949623,8544,630426489468,8640,c,s
54573979,2775,6534384489153080,3381,c,s
57032039,6734,36870613208747,5182,b,w
57569791,2002,6543366637380698,4879,c,w
58154966,8316,2228520644554163,1079,c,s
59473563,7335,4495730231295,3058,a,s
61578568,9505,4282051318978446,9803,b,w
63187241,3369,213130274765088,3984,b,w
63212061,1403,213154636151886,4793,a,s
64094992,5129,180055303472415,3005,d,w
64849919,1278,6011814560507830,9893,c,w
65625728,1694,4354151673495086,8593,a,s
66283116,3465,4192010889195,8305,b,s
67393644,7517,4670175747939834,4609,d,s
68154826,5861,4513876981824548,8936,b,s
70590080,5742,345100506726738,2045,b,w
70741065,1871,36314678233027,101,c,w
70991422,4021,30016531561066,8952,c,s
72080564,6111,3577313031115474,1976,d,w
73389079,9042,6011015826633788,7067,c,w
73679543,3235,3560989695060285,8527,c,w
74080862,6232,4455631510817,5683,a,w
74315546,3199,3551539766572295,8427,c,w
74404608,2907,4274308173340,8005,d,w
74449117,3715,3592438481184349,8307,d,s
74996861,5514,30423332658937,524,d,w
77987433,4492,2223420177539530,3552,c,s
79396950,6036,4198378449041833,8306,b,w
79473786,8929,3566890666040732,7858,d,s
79821998,1510,38648957019369,3364,b,w
80068126,9097,4246658997304,248,c,s
80476414,8261,36181518945833,5504,a,s
84410896,1202,3587817044288126,8965,d,w
84758251,1195,38329461977018,4787,c,w
85386037,4061,577785608255,3594,b,s
85894940,8197,349119261023897,4574,b,s
86650315,7696,503862296913,9014,c,w
87008447,3097,676355386787,1797,b,w
87927154,9392,4467554540048356,3819,a,s
88214787,6286,639074450730,2119,d,w
88474971,3335,6011351407685917,1486,d,s
89836141,6764,4449115153253288,8245,c,s
89837813,6750,3524491721331074,7150,b,s
90325460,5906,6011333018958032,1006,a,w
93326686,5566,3540083155244657,1781,d,s
93418550,5622,4628354292461162,4525,c,s
94005868,7587,4.2422960679693E+018,7041,a,s
96559415,871,6011045692252678,4546,a,w
96849570,8080,30282209346236,3027,d,s
97151164,9373,4036692162982965,2678,c,s
97236636,7548,3535637490694939,9518,d,s
97844943,2954,3548608279502606,4772,a,s
98317522,7787,30393069257692,9903,c,s
100885599,9737,4896261129693,1844,d,w
101233430,8251,4267578050764781,9924,c,w
101724866,4907,502063763861,634,a,w
102637798,7061,4.70795084604567E+018,4118,b,s
102831862,716,4708976180572842,4367,c,s
104433409,8439,4.17844448853828E+018,5185,a,w
104804004,7952,2253791062607472,1367,d,w
105886042,9424,371235594007067,9780,d,s
106337702,1931,4.23236248370455E+018,1509,d,s
107547019,6574,4.25871584117227E+018,9606,b,s
108397784,6785,4.43373209566864E+018,3594,d,w
109787037,4230,30359397991302,4204,b,s
112072921,7929,4373375250297832,6472,a,w
112263470,1365,503883145230,1013,b,s
112344392,2154,375618409322290,6409,b,w
113226463,7665,2488543991692571,9051,d,w
113632925,9543,6537707737725258,1319,a,w
113731096,3012,4857095881420,7548,b,s
114880359,6072,3529312935037734,8549,a,s
116468921,3452,30223591805355,1988,d,w
121123952,6716,4849468049649524,9610,b,s
121443607,9689,3553539613780743,3797,c,s
121647606,3816,6531969753978783,348,a,w
121839219,3354,36361155586153,8470,c,w
123090473,7139,6011427511361775,6888,d,s
124016696,2827,4591499953070779,2707,c,s
126356657,2676,3588934161229632,256,c,w
126581689,1002,6011370145441821,9811,d,s
126864512,8834,3587501644488613,3596,b,w
126898913,3133,501805818199,1983,a,w
127362025,9893,3543447083461591,9111,d,w
127736098,8093,675962174677,1048,b,s
127845743,7552,4127723218841705,1665,b,w
128023900,3941,4.6994346123422E+018,1977,d,w
130784095,527,347745068896721,2160,b,w
131518165,4557,371016899048901,1051,b,w
133370382,1356,378666611748619,4816,a,s
133620767,5633,676370462035,5279,b,s
134850055,7859,2329252606720818,8516,d,s
135490740,6930,4583181941593,5521,b,s
137136335,4461,4569146218352199,9257,b,w
137603174,1587,6011749900535689,9440,b,s
138041339,1722,501822641822,7485,a,s
138217173,4121,180015266105295,8595,a,w
138229398,9721,3511054994777541,3685,a,s
140456584,2446,4636520015674188,4082,c,w
140457958,6267,4755916757631,2174,d,s
140716728,3447,6577392260807467,848,b,w
140730559,6975,3553691427971909,9204,a,s
143056458,6213,3569532497130277,9941,c,w
143474899,9129,676326479513,4868,b,w
143644290,6708,4449795276914906,4906,a,w
145346360,7638,2262054945926802,7583,d,w
147217631,4853,30472290705222,8954,d,s
149663634,2962,4819882679989990,5295,c,w
150097431,1170,5194352942710385,568,b,w
150180392,6044,4696425701972242,4090,a,s
150189019,7946,3532108964883146,987,c,w
150503138,5181,6011766757367131,263,b,w
150912653,4184,4801406996550,4216,a,s
152433479,7665,375992029378713,707,a,w
154082304,1285,582065712843,3974,b,w
154103701,5676,3532237222167669,9892,a,s
157075959,9602,2709027248495437,5755,a,w
157378450,3933,4862159833186680,1692,b,s
157643669,5886,4239934970310,610,d,w
157785543,9258,4.77993741786602E+018,8960,d,w
158957968,7814,3529087810805112,9379,a,s
159429163,2571,3598768510197563,318,b,w
163838672,8142,3597450501723613,9170,c,w
164577385,9756,4364968285985974,7189,d,s
164779190,5371,30232274938722,4220,c,s
165387683,9327,502069294275,405,c,s
165874205,4235,4.27923329734014E+018,6630,a,s
165926879,2556,4391323845797070,2924,a,w
166038462,9988,3524003400128968,6070,b,w
167308507,3650,372016864459645,5076,d,w
167690077,2414,4714565715821162,4081,c,s
168079593,4897,4653925163924392,4028,a,s
169149654,8381,4.24938377918066E+018,5959,a,w
170932336,6711,379392515669863,2214,b,w
171142515,9446,4.46031824564315E+018,5446,d,s
171868606,2274,3581774233568303,5208,c,w
172362529,8400,3578127989470478,419,b,s
173987332,4444,5465235231928036,8062,b,w
174784903,2310,4586914501260794,8408,d,s
176484353,5995,2685935228183468,1316,b,s
